Dataset,Fold,Method,Training_MMRE,Fitness_Evaluations,Input,Output,Inquiry,File,FPAdj,RawFPcounts,AdjFP,AFP,Enquiry,Interface,Added,Duration,AdjFactor,Resource,data,modp,loc,pcap,turn,Length,Transactions,Entities,PointsNonAdjust,Adjustment,PointsAjust,Language,KSLOC,RAWFP,Actual.duration,Adjusted.function.points,First.estimate,Nlan,T07,T11,T14,T15,Size,T09,T10,T01,T08,KLOC,SCRN,FORM,FILE,ESCRN,EFORM,EFILE,TotalUFP,ExternalInterface,ExternalQueries,ExternalInputs,InternalLogicalFiles,ExternalOutputs,COSMIC_FP,HH_CFP
Desharnais,1,PSO-ABE,0.5534708499908447,1000,,,,,,,,,,,,,,,,,,,,0.1897590458393097,0.25933903455734253,0.0033846835140138865,0.051467377692461014,0.0220558550208807,0.47399407625198364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Desharnais,1,DE-ABE,0.57343989610672,1000,,,,,,,,,,,,,,,,,,,,0.1916169673204422,0.3309471011161804,0.045809514820575714,0.0037342789582908154,0.014254211448132992,0.4136379063129425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Desharnais,1,GWO-ABE,0.5758282542228699,1000,,,,,,,,,,,,,,,,,,,,0.32479041814804077,0.19954442977905273,3.342414856888354e-05,0.017338017001748085,0.03726312518119812,0.42103058099746704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Desharnais,1,WOA-ABE,0.5631636381149292,1000,,,,,,,,,,,,,,,,,,,,0.23690581321716309,0.3113163411617279,0.03302273899316788,0.017046717926859856,0.020790493115782738,0.3809179663658142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Desharnais,1,FAABE,0.5627190470695496,1000,,,,,,,,,,,,,,,,,,,,0.1823924481868744,0.2795642018318176,0.007366033736616373,0.08582337200641632,0.027010876685380936,0.41784313321113586,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Desharnais,2,ABE,,0,,,,,,,,,,,,,,,,,,,,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Desharnais,2,GA-ABE,0.5830287337303162,1000,,,,,,,,,,,,,,,,,,,,0.24130043387413025,0.11555064469575882,0.1693105548620224,0.0,0.3695608079433441,0.10427752137184143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Desharnais,2,PSO-ABE,0.5425233840942383,1000,,,,,,,,,,,,,,,,,,,,0.13726499676704407,0.20357103645801544,1.955408151843585e-05,0.0,0.0,0.659144401550293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Desharnais,2,DE-ABE,0.5402929186820984,1000,,,,,,,,,,,,,,,,,,,,0.04598568379878998,0.21434104442596436,0.18342721462249756,0.018227754160761833,0.04257991164922714,0.4954383969306946,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Desharnais,2,GWO-ABE,0.5461384654045105,1000,,,,,,,,,,,,,,,,,,,,0.5327833890914917,0.22557544708251953,0.027693822979927063,0.1883685290813446,0.0011134129017591476,0.024465464055538177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Desharnais,2,WOA-ABE,0.5616328716278076,1000,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Desharnais,2,FAABE,0.5781897306442261,1000,,,,,,,,,,,,,,,,,,,,0.18520979583263397,0.13713254034519196,0.11409363150596619,0.05681734159588814,0.4172608256340027,0.08948583155870438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Desharnais,3,ABE,,0,,,,,,,,,,,,,,,,,,,,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Desharnais,3,GA-ABE,0.5791515111923218,1000,,,,,,,,,,,,,,,,,,,,0.17055946588516235,0.44070443511009216,0.0,3.4739048260234995e-07,0.05288510024547577,0.33585065603256226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Desharnais,3,PSO-ABE,0.5549696683883667,1000,,,,,,,,,,,,,,,,,,,,0.2923901081085205,0.0,0.3985680937767029,0.0,0.19945217669010162,0.10958966612815857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Desharnais,3,DE-ABE,0.5474291443824768,1000,,,,,,,,,,,,,,,,,,,,0.31242433190345764,0.25879237055778503,0.09997844696044922,0.0,0.32811668515205383,0.000688138825353235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Desharnais,3,GWO-ABE,0.5583569407463074,1000,,,,,,,,,,,,,,,,,,,,0.3390199840068817,0.001485475106164813,0.06990554928779602,0.03358744829893112,0.4013453423976898,0.15465621650218964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Desharnais,3,WOA-ABE,0.5819388628005981,1000,,,,,,,,,,,,,,,,,,,,0.3812757432460785,0.020087340846657753,0.08125171065330505,0.14848804473876953,0.13407129049301147,0.23482592403888702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Desharnais,3,FAABE,0.5523300766944885,1000,,,,,,,,,,,,,,,,,,,,0.2864901125431061,0.03491285443305969,0.4017900228500366,0.061094317585229874,0.2157127410173416,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Desharnais,4,ABE,,0,,,,,,,,,,,,,,,,,,,,0.1428571492433548,0.1428571492433548,0.1428571492433548,0.1428571492433548,0.1428571492433548,0.1428571492433548,0.1428571492433548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Desharnais,4,GA-ABE,0.37645983695983887,1000,,,,,,,,,,,,,,,,,,,,0.06423886865377426,0.07724513113498688,0.05377189815044403,0.06265807896852493,0.10245171934366226,0.10690280050039291,0.5327315330505371,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Desharnais,4,PSO-ABE,0.38489416241645813,1000,,,,,,,,,,,,,,,,,,,,0.13435092568397522,0.15757712721824646,0.14255520701408386,0.0,0.09403397142887115,0.11535996943712234,0.3561228811740875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Desharnais,4,DE-ABE,0.387661337852478,1000,,,,,,,,,,,,,,,,,,,,0.18610674142837524,0.10135310888290405,0.16905176639556885,0.13650938868522644,0.19322678446769714,0.0,0.21375218033790588,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Desharnais,4,GWO-ABE,0.33685019612312317,1000,,,,,,,,,,,,,,,,,,,,0.1196838989853859,0.016595304012298584,0.0008435964700765908,0.0015968468505889177,0.053244125097990036,0.30148473381996155,0.5065515041351318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Desharnais,4,WOA-ABE,0.3739757835865021,1000,,,,,,,,,,,,,,,,,,,,0.20816244184970856,0.18569055199623108,0.00921359658241272,0.0561787374317646,0.09829968214035034,0.0,0.442454993724823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Desharnais,4,FAABE,0.3383626639842987,1000,,,,,,,,,,,,,,,,,,,,0.07900659739971161,0.0,0.0,0.0,0.014515156857669353,0.24887590110301971,0.6576023697853088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Desharnais,5,ABE,,0,,,,,,,,,,,,,,,,,,,,0.1428571492433548,0.1428571492433548,0.1428571492433548,0.1428571492433548,0.1428571492433548,0.1428571492433548,0.1428571492433548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Desharnais,5,GA-ABE,0.3413282036781311,1000,,,,,,,,,,,,,,,,,,,,0.029635149985551834,0.01584794372320175,0.08062254637479782,0.004220189526677132,0.16169577836990356,0.4166666865348816,0.29131174087524414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Desharnais,5,PSO-ABE,0.34756797552108765,1000,,,,,,,,,,,,,,,,,,,,0.07376360893249512,0.31264728307724,0.1365566849708557,0.0,0.1350555270910263,0.02884220890700817,0.31313470005989075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Desharnais,5,DE-ABE,0.35640302300453186,1000,,,,,,,,,,,,,,,,,,,,0.08536214381456375,0.28882962465286255,0.115298792719841,0.13392341136932373,0.1791755110025406,0.0010874817380681634,0.19632305204868317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Desharnais,5,GWO-ABE,0.3336714208126068,1000,,,,,,,,,,,,,,,,,,,,0.02383432909846306,0.0029135672375559807,0.02095479890704155,0.00853225588798523,0.026426158845424652,0.4122088849544525,0.5051299929618835,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Desharnais,5,WOA-ABE,0.3635677695274353,1000,,,,,,,,,,,,,,,,,,,,0.0509924441576004,0.1694597750902176,0.10200712084770203,0.076950803399086,0.16747896373271942,0.08662939816713333,0.3464815020561218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Desharnais,5,FAABE,0.34025371074676514,1000,,,,,,,,,,,,,,,,,,,,0.06525672227144241,0.07856883108615875,0.008171722292900085,0.11444088816642761,0.026444608345627785,0.34101638197898865,0.36610081791877747,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Desharnais,6,ABE,,0,,,,,,,,,,,,,,,,,,,,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Desharnais,6,GA-ABE,0.5524933934211731,1000,,,,,,,,,,,,,,,,,,,,0.10263501107692719,0.009277457371354103,0.27463480830192566,0.19582852721214294,0.34339025616645813,0.0742340087890625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Desharnais,6,PSO-ABE,0.6019779443740845,1000,,,,,,,,,,,,,,,,,,,,0.3889428675174713,0.17854724824428558,0.0,0.1765371561050415,0.07107269763946533,0.18489998579025269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Desharnais,6,DE-ABE,0.5377117395401001,1000,,,,,,,,,,,,,,,,,,,,0.058610282838344574,0.04997435212135315,0.13858546316623688,0.20654186606407166,0.46881598234176636,0.07747213542461395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Desharnais,6,GWO-ABE,0.5872962474822998,1000,,,,,,,,,,,,,,,,,,,,0.002549867844209075,0.46059682965278625,0.12239262461662292,0.046972088515758514,0.10051152855157852,0.26697707176208496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Desharnais,6,WOA-ABE,0.5315304398536682,1000,,,,,,,,,,,,,,,,,,,,0.13129909336566925,0.08134178072214127,0.1355464905500412,0.2151739001274109,0.4012312889099121,0.035407450050115585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Desharnais,6,FAABE,0.5452198386192322,1000,,,,,,,,,,,,,,,,,,,,0.1780737191438675,0.16029800474643707,0.292026549577713,0.027666466310620308,0.33717378973960876,0.004761537071317434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Desharnais,7,ABE,,0,,,,,,,,,,,,,,,,,,,,0.1428571492433548,0.1428571492433548,0.1428571492433548,0.1428571492433548,0.1428571492433548,0.1428571492433548,0.1428571492433548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Desharnais,7,GA-ABE,0.3768661320209503,1000,,,,,,,,,,,,,,,,,,,,0.04904048889875412,2.0682694668039403e-08,0.06358647346496582,0.18851330876350403,0.1568489968776703,0.1367674618959427,0.4052432179450989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Desharnais,7,PSO-ABE,0.36629724502563477,1000,,,,,,,,,,,,,,,,,,,,0.15880538523197174,0.1460091918706894,0.15126043558120728,0.045545872300863266,0.1452808678150177,0.03647005185484886,0.31662818789482117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Desharnais,7,DE-ABE,0.37367045879364014,1000,,,,,,,,,,,,,,,,,,,,0.14891475439071655,0.11997484415769577,0.17260043323040009,0.013746937736868858,0.24881087243556976,0.03476092591881752,0.2611912488937378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Desharnais,7,GWO-ABE,0.3240058422088623,1000,,,,,,,,,,,,,,,,,,,,0.07603303343057632,0.0059480126947164536,0.0011452677426859736,0.014983291737735271,0.04205697402358055,0.43950316309928894,0.420330286026001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Desharnais,7,WOA-ABE,0.3388608694076538,1000,,,,,,,,,,,,,,,,,,,,0.04854130744934082,4.593916310113855e-05,0.0,0.0,0.0,0.22433818876743317,0.7270745635032654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Desharnais,7,FAABE,0.33512112498283386,1000,,,,,,,,,,,,,,,,,,,,0.11325838416814804,0.0,0.0003625729004852474,0.0329565703868866,0.04204224422574043,0.48277196288108826,0.3286082148551941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Desharnais,8,ABE,,0,,,,,,,,,,,,,,,,,,,,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Desharnais,8,GA-ABE,0.5816173553466797,1000,,,,,,,,,,,,,,,,,,,,0.16993927955627441,0.1135324090719223,0.2132754772901535,0.21625354886054993,0.14283305406570435,0.1441662311553955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Desharnais,8,PSO-ABE,0.5690369009971619,1000,,,,,,,,,,,,,,,,,,,,0.18393810093402863,0.07860353589057922,0.2723671793937683,0.0,0.10957687348127365,0.3555143475532532,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Desharnais,8,DE-ABE,0.5518478751182556,1000,,,,,,,,,,,,,,,,,,,,0.1367824524641037,0.1017853394150734,0.2476808726787567,0.0036965347826480865,0.0,0.5100547671318054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Desharnais,8,GWO-ABE,0.5542523860931396,1000,,,,,,,,,,,,,,,,,,,,0.013134436681866646,0.062435880303382874,0.01468299888074398,0.014484048821032047,0.03221635892987251,0.8630462884902954,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Desharnais,8,WOA-ABE,0.5356152653694153,1000,,,,,,,,,,,,,,,,,,,,0.07642127573490143,0.239739328622818,0.06629208475351334,0.0,0.04333712160587311,0.5742102265357971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Desharnais,8,FAABE,0.5726720094680786,1000,,,,,,,,,,,,,,,,,,,,0.017935648560523987,0.0,0.23220601677894592,0.20786923170089722,0.4243292510509491,0.1176597997546196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Desharnais,9,ABE,,0,,,,,,,,,,,,,,,,,,,,0.1428571492433548,0.1428571492433548,0.1428571492433548,0.1428571492433548,0.1428571492433548,0.1428571492433548,0.1428571492433548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Desharnais,9,GA-ABE,0.33395546674728394,1000,,,,,,,,,,,,,,,,,,,,0.11536402255296707,0.10997265577316284,0.12038654088973999,0.0031610995065420866,0.10960184037685394,0.05543230473995209,0.4860815703868866,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Desharnais,9,PSO-ABE,0.32235419750213623,1000,,,,,,,,,,,,,,,,,,,,0.03336964175105095,0.0,0.0,0.0,0.04356604814529419,0.48849818110466003,0.43456611037254333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Desharnais,9,DE-ABE,0.34797653555870056,1000,,,,,,,,,,,,,,,,,,,,0.07189329713582993,0.125075563788414,0.05930313467979431,0.13167527318000793,0.18704338371753693,0.07933329045772552,0.345676064491272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Desharnais,9,GWO-ABE,0.33847343921661377,1000,,,,,,,,,,,,,,,,,,,,0.10784091055393219,0.09239325672388077,0.06877477467060089,0.06641187518835068,0.07481400668621063,0.0034336228854954243,0.5863316059112549,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Desharnais,9,WOA-ABE,0.3241770565509796,1000,,,,,,,,,,,,,,,,,,,,0.13919678330421448,0.0,0.0,0.0,0.0,0.17718417942523956,0.6836190819740295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Desharnais,9,FAABE,0.339917927980423,1000,,,,,,,,,,,,,,,,,,,,0.15634404122829437,0.13221637904644012,0.17023113369941711,0.017652658745646477,0.14996550977230072,0.0876074805855751,0.28598278760910034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Desharnais,10,ABE,,0,,,,,,,,,,,,,,,,,,,,0.1428571492433548,0.1428571492433548,0.1428571492433548,0.1428571492433548,0.1428571492433548,0.1428571492433548,0.1428571492433548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Desharnais,10,GA-ABE,0.3690888583660126,1000,,,,,,,,,,,,,,,,,,,,0.12463375926017761,0.02635555900633335,0.01395736075937748,0.43495455384254456,0.008701035752892494,0.21552424132823944,0.17587342858314514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Desharnais,10,PSO-ABE,0.38711661100387573,1000,,,,,,,,,,,,,,,,,,,,0.13732948899269104,0.15508873760700226,0.11097607761621475,0.15206585824489594,0.10077974945306778,0.0,0.3437601327896118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Desharnais,10,DE-ABE,0.37934765219688416,1000,,,,,,,,,,,,,,,,,,,,0.15310101211071014,0.11307987570762634,0.15364333987236023,8.56933111208491e-05,0.12615050375461578,0.0787542387843132,0.3751853108406067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Desharnais,10,GWO-ABE,0.34710484743118286,1000,,,,,,,,,,,,,,,,,,,,0.08586530387401581,0.0006345767760649323,0.0006715893978253007,0.0062050847336649895,0.013305900618433952,0.44299161434173584,0.45032593607902527,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Desharnais,10,WOA-ABE,0.3530394434928894,1000,,,,,,,,,,,,,,,,,,,,0.0274929441511631,0.0014204808976501226,0.001097368192858994,0.0,0.0,0.23232994973659515,0.7376592755317688,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Desharnais,10,FAABE,0.3615035116672516,1000,,,,,,,,,,,,,,,,,,,,0.2608223557472229,0.0,0.0,0.10360152274370193,0.0,0.19677676260471344,0.4387993812561035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kemerer,1,ABE,,0,,,,,,,0.25,,,,,,,,,,,,,,,,,,,0.25,0.25,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kemerer,1,GA-ABE,0.5531197786331177,1000,,,,,,,0.46381622552871704,,,,,,,,,,,,,,,,,,,0.15643930435180664,0.3797445297241211,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kemerer,1,PSO-ABE,0.5523149371147156,1000,,,,,,,0.4651852548122406,,,,,,,,,,,,,,,,,,,0.14026996493339539,0.394544780254364,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kemerer,1,DE-ABE,0.552726149559021,1000,,,,,,,0.46729761362075806,,,,,,,,,,,,,,,,,,,0.149410218000412,0.38329029083251953,1.8423513665766222e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kemerer,1,GWO-ABE,0.5687094926834106,1000,,,,,,,0.3607204854488373,,,,,,,,,,,,,,,,,,,0.14566031098365784,0.4895756244659424,0.004043589346110821,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kemerer,1,WOA-ABE,0.5627133846282959,1000,,,,,,,0.3124392330646515,,,,,,,,,,,,,,,,,,,0.10340060293674469,0.5841602087020874,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kemerer,1,FAABE,0.5529659986495972,1000,,,,,,,0.4601052701473236,,,,,,,,,,,,,,,,,,,0.15070681273937225,0.3851931691169739,0.00399472052231431,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kemerer,2,ABE,,0,,,,,,,0.3333333432674408,,,,,,,,,,,,,,,,,,,,0.3333333432674408,0.3333333432674408,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kemerer,2,GA-ABE,0.5556530356407166,1000,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.6540815830230713,0.3459184169769287,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kemerer,2,PSO-ABE,0.5556118488311768,1000,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.6536496877670288,0.34635037183761597,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kemerer,2,DE-ABE,0.5606048703193665,1000,,,,,,,0.273377001285553,,,,,,,,,,,,,,,,,,,,0.6800578236579895,0.04656524211168289,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kemerer,2,GWO-ABE,0.6060997843742371,1000,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kemerer,2,WOA-ABE,0.5788819789886475,1000,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.08026418089866638,0.919735848903656,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kemerer,2,FAABE,0.5789272785186768,1000,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.08055931329727173,0.919440746307373,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kemerer,3,ABE,,0,,,,,,,0.25,,,,,,,,,,,,,,,,,,,0.25,0.25,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kemerer,3,GA-ABE,0.5443123579025269,1000,,,,,,,0.40098974108695984,,,,,,,,,,,,,,,,,,,0.04574046656489372,0.5532697439193726,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kemerer,3,PSO-ABE,0.544292688369751,1000,,,,,,,0.4050642251968384,,,,,,,,,,,,,,,,,,,0.04472748190164566,0.5502082705497742,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kemerer,3,DE-ABE,0.5655136108398438,1000,,,,,,,0.23022370040416718,,,,,,,,,,,,,,,,,,,0.1744534969329834,0.5745890140533447,0.02073380909860134,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kemerer,3,GWO-ABE,0.5443971753120422,1000,,,,,,,0.3885057866573334,,,,,,,,,,,,,,,,,,,0.04885140433907509,0.562250554561615,0.00039219771861098707,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kemerer,3,WOA-ABE,0.5443192720413208,1000,,,,,,,0.40385475754737854,,,,,,,,,,,,,,,,,,,0.044196199625730515,0.5485996007919312,0.003349489299580455,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kemerer,3,FAABE,0.5445504188537598,1000,,,,,,,0.4448471963405609,,,,,,,,,,,,,,,,,,,0.07559388875961304,0.47955888509750366,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kemerer,4,ABE,,0,,,,,,,0.20000000298023224,,,,,0.20000000298023224,,,,,,,,,,,,,,0.20000000298023224,0.20000000298023224,0.20000000298023224,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kemerer,4,GA-ABE,0.5249055027961731,1000,,,,,,,0.054570868611335754,,,,,0.0017417020862922072,,,,,,,,,,,,,,0.12941573560237885,0.8142716884613037,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kemerer,4,PSO-ABE,0.5050644278526306,1000,,,,,,,0.23262356221675873,,,,,0.08427701890468597,,,,,,,,,,,,,,0.2695452570915222,0.4135541617870331,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kemerer,4,DE-ABE,0.5052869915962219,1000,,,,,,,0.22350716590881348,,,,,0.08352547138929367,,,,,,,,,,,,,,0.29602688550949097,0.3969387412071228,1.7846969058155082e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kemerer,4,GWO-ABE,0.5256309509277344,1000,,,,,,,0.05417196825146675,,,,,0.003557939315214753,,,,,,,,,,,,,,0.13314448297023773,0.8085790276527405,0.0005465518333949149,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kemerer,4,WOA-ABE,0.5291104912757874,1000,,,,,,,0.0,,,,,0.0,,,,,,,,,,,,,,0.1427082121372223,0.8572917580604553,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kemerer,4,FAABE,0.5065586566925049,1000,,,,,,,0.2624412477016449,,,,,0.10308828204870224,,,,,,,,,,,,,,0.19889913499355316,0.4355713427066803,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kemerer,5,ABE,,0,,,,,,,0.3333333432674408,,,,,,,,,,,,,,,,,,,,0.3333333432674408,0.3333333432674408,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kemerer,5,GA-ABE,0.5656648874282837,1000,,,,,,,0.46874159574508667,,,,,,,,,,,,,,,,,,,,0.4512726664543152,0.07998577505350113,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kemerer,5,PSO-ABE,0.5663375854492188,1000,,,,,,,0.5401726961135864,,,,,,,,,,,,,,,,,,,,0.45982733368873596,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kemerer,5,DE-ABE,0.5656660199165344,1000,,,,,,,0.46927106380462646,,,,,,,,,,,,,,,,,,,,0.45151829719543457,0.07921061664819717,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kemerer,5,GWO-ABE,0.5658261179924011,1000,,,,,,,0.48608681559562683,,,,,,,,,,,,,,,,,,,,0.4535454213619232,0.060367755591869354,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kemerer,5,WOA-ABE,0.5656523108482361,1000,,,,,,,0.4677405059337616,,,,,,,,,,,,,,,,,,,,0.4512975215911865,0.08096199482679367,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kemerer,5,FAABE,0.5657371878623962,1000,,,,,,,0.4767168462276459,,,,,,,,,,,,,,,,,,,,0.4524146020412445,0.07086852192878723,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kemerer,6,ABE,,0,,,,,,,0.25,,,,,,,,,,,,,,,,,,,0.25,0.25,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kemerer,6,GA-ABE,0.596973180770874,1000,,,,,,,0.24397778511047363,,,,,,,,,,,,,,,,,,,0.14892832934856415,0.4557337760925293,0.15136012434959412,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kemerer,6,PSO-ABE,0.5950836539268494,1000,,,,,,,0.30633556842803955,,,,,,,,,,,,,,,,,,,0.14642244577407837,0.4543379843235016,0.0929040014743805,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kemerer,6,DE-ABE,0.5956670045852661,1000,,,,,,,0.2811119556427002,,,,,,,,,,,,,,,,,,,0.14600113034248352,0.4524672329425812,0.12041975557804108,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kemerer,6,GWO-ABE,0.5976026058197021,1000,,,,,,,0.3713558614253998,,,,,,,,,,,,,,,,,,,0.14238758385181427,0.46191781759262085,0.02433871105313301,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kemerer,6,WOA-ABE,0.5952872037887573,1000,,,,,,,0.297465056180954,,,,,,,,,,,,,,,,,,,0.14630091190338135,0.4536673128604889,0.10256673395633698,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kemerer,6,FAABE,0.5968593955039978,1000,,,,,,,0.39064544439315796,,,,,,,,,,,,,,,,,,,0.14569784700870514,0.4636566936969757,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kemerer,7,ABE,,0,,,,,,,0.3333333432674408,,,,,,,,,,,,,,,,,,,,0.3333333432674408,0.3333333432674408,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kemerer,7,GA-ABE,0.5702771544456482,1000,,,,,,,0.25711050629615784,,,,,,,,,,,,,,,,,,,,0.6801456212997437,0.06274386495351791,,,,,,,,,,,,,,,,,,,,,,,,,,,,
